Feature,Importance,Importance_Percentage
rolling_mean_7,0.3614032287802478,36.140322878024776
lag_1,0.23988507559447808,23.988507559447807
lag_7,0.14766804284665888,14.766804284665888
temperature_2m_mean,0.1362461729685968,13.62461729685968
precipitation_sum,0.040209988867572995,4.020998886757299
day_of_week,0.027213087785547863,2.7213087785547865
month,0.016628943790108,1.6628943790108
is_weekend,0.015470398503838608,1.5470398503838607
windspeed_10m_max,0.014160001862986047,1.4160001862986047
is_holiday,0.001115058999964999,0.1115058999964999
