date,ride_count,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,holiday_name,is_holiday,day_of_week,month,day,week_of_year,is_weekend,season,lag_1,lag_7,rolling_mean_7
2020-04-01,2294,3.9,7.2,1.9,0.0,19.3,None,0,4,4,1,14,0,Spring,0,0,2294.0
2020-04-02,2608,4.3,7.6,0.7,0.0,15.9,None,0,5,4,2,14,0,Spring,2294,0,2451.0
2020-04-03,3532,9.6,14.8,4.5,0.1,18.8,None,0,6,4,3,14,0,Spring,2608,0,2811.3333333333335
2020-04-04,2288,5.6,13.4,2.0,2.4,21.6,None,0,7,4,4,14,1,Spring,3532,0,2680.5
2020-04-05,2887,3.2,5.5,1.3,0.0,19.2,None,0,1,4,5,14,1,Spring,2288,0,2721.8
2020-04-06,2427,7.5,13.2,0.6,1.5,17.4,None,0,2,4,6,15,0,Spring,2887,0,2672.6666666666665
2020-04-07,5185,16.8,23.9,11.6,14.3,29.2,None,0,3,4,7,15,0,Spring,2427,0,3031.5714285714284
2020-04-08,2365,9.0,13.5,5.9,2.5,29.2,None,0,4,4,8,15,0,Spring,5185,2294,3041.714285714286
2020-04-09,1972,5.8,8.3,2.0,0.2,43.6,None,0,5,4,9,15,0,Spring,2365,2608,2950.8571428571427
2020-04-10,2721,3.8,7.5,0.0,0.0,25.3,None,0,6,4,10,15,0,Spring,1972,3532,2835.0
2020-04-11,4458,9.7,16.4,3.9,2.7,23.5,None,0,7,4,11,15,1,Spring,2721,2288,3145.0
2020-04-12,3670,12.4,18.4,8.1,3.1,26.7,Western Easter,1,1,4,12,15,1,Spring,4458,2887,3256.8571428571427
2020-04-13,1820,5.0,12.3,0.8,1.1,36.8,None,0,2,4,13,16,0,Spring,3670,2427,3170.1428571428573
2020-04-14,1609,1.1,5.0,-2.4,1.0,33.5,None,0,3,4,14,16,0,Spring,1820,5185,2659.285714285714
2020-04-15,1419,0.3,3.7,-2.8,2.5,25.4,None,0,4,4,15,16,0,Spring,1609,2365,2524.1428571428573
2020-04-16,2272,2.2,8.2,-3.4,0.0,23.4,None,0,5,4,16,16,0,Spring,1419,1972,2567.0
2020-04-17,1435,1.7,3.5,0.9,7.5,21.1,None,0,6,4,17,16,0,Spring,2272,2721,2383.285714285714
2020-04-18,5116,6.6,13.2,-0.4,0.0,35.9,None,0,7,4,18,16,1,Spring,1435,4458,2477.285714285714
2020-04-19,5158,7.8,13.5,3.4,0.2,31.2,Eastern Easter,1,1,4,19,16,1,Spring,5116,3670,2689.8571428571427
2020-04-20,3903,8.7,15.6,-0.1,1.1,34.4,None,0,2,4,20,17,0,Spring,5158,1820,2987.4285714285716
2020-04-21,2627,5.6,9.6,2.4,0.0,29.5,None,0,3,4,21,17,0,Spring,3903,1609,3132.8571428571427
2020-04-22,1995,7.8,14.1,1.9,2.9,22.2,None,0,4,4,22,17,0,Spring,2627,1419,3215.1428571428573
2020-04-23,2284,8.4,12.6,5.0,1.2,22.0,None,0,5,4,23,17,0,Spring,1995,2272,3216.8571428571427
2020-04-24,2284,5.6,7.2,4.3,1.0,22.3,None,0,6,4,24,17,0,Spring,2284,1435,3338.1428571428573
2020-04-25,1048,5.9,7.1,4.4,17.5,31.7,None,0,7,4,25,17,1,Spring,2284,5116,2757.0
2020-04-26,6200,7.2,11.5,4.4,0.0,28.1,None,0,1,4,26,17,1,Spring,1048,5158,2905.8571428571427
2020-04-27,2595,10.8,18.4,2.1,3.2,30.4,None,0,2,4,27,18,0,Spring,6200,3903,2719.0
2020-04-28,3392,15.0,19.6,8.2,11.0,25.6,None,0,3,4,28,18,0,Spring,2595,2627,2828.285714285714
2020-04-29,645,11.3,16.1,6.1,41.6,31.6,None,0,4,4,29,18,0,Spring,3392,1995,2635.4285714285716
2020-04-30,2567,6.7,8.9,4.8,9.6,38.5,None,0,5,4,30,18,0,Spring,645,2284,2675.8571428571427
2020-05-01,4751,9.3,14.6,1.6,0.4,19.2,None,0,6,5,1,18,0,Spring,2567,2284,3028.285714285714
2020-05-02,11811,17.2,23.8,11.3,0.0,23.8,None,0,7,5,2,18,1,Spring,4751,1048,4565.857142857143
2020-05-03,9414,15.1,19.8,7.4,0.0,29.2,None,0,1,5,3,18,1,Spring,11811,6200,5025.0
2020-05-04,2634,5.2,7.3,3.7,0.0,30.4,None,0,2,5,4,19,0,Spring,9414,2595,5030.571428571428
2020-05-05,1953,6.4,8.0,4.8,6.1,20.5,None,0,3,5,5,19,0,Spring,2634,3392,4825.0
