date,date_key,year,month,day,day_of_week,week_of_year,month_name,is_weekend,season
2020-08-24,20200824,2020,8,24,2,35,August,0,Summer
2021-01-27,20210127,2021,1,27,4,4,January,0,Winter
2021-06-22,20210622,2021,6,22,3,25,June,0,Summer
2021-08-27,20210827,2021,8,27,6,34,August,0,Summer
2021-10-11,20211011,2021,10,11,2,41,October,0,Fall
2021-11-13,20211113,2021,11,13,7,45,November,1,Fall
2021-12-18,20211218,2021,12,18,7,50,December,1,Winter
2020-07-24,20200724,2020,7,24,6,30,July,0,Summer
2020-08-05,20200805,2020,8,5,4,32,August,0,Summer
2020-11-29,20201129,2020,11,29,1,48,November,1,Fall
2021-10-02,20211002,2021,10,2,7,39,October,1,Fall
2021-11-25,20211125,2021,11,25,5,47,November,0,Fall
2020-04-30,20200430,2020,4,30,5,18,April,0,Spring
2020-08-28,20200828,2020,8,28,6,35,August,0,Summer
2020-08-29,20200829,2020,8,29,7,35,August,1,Summer
2020-10-04,20201004,2020,10,4,1,40,October,1,Fall
2021-04-29,20210429,2021,4,29,5,17,April,0,Spring
2021-05-12,20210512,2021,5,12,4,19,May,0,Spring
2021-07-20,20210720,2021,7,20,3,29,July,0,Summer
2021-07-30,20210730,2021,7,30,6,30,July,0,Summer
2021-09-14,20210914,2021,9,14,3,37,September,0,Fall
2020-09-24,20200924,2020,9,24,5,39,September,0,Fall
2020-12-18,20201218,2020,12,18,6,51,December,0,Winter
2021-07-17,20210717,2021,7,17,7,28,July,1,Summer
2021-04-24,20210424,2021,4,24,7,16,April,1,Spring
2021-07-23,20210723,2021,7,23,6,29,July,0,Summer
2021-09-11,20210911,2021,9,11,7,36,September,1,Fall
2020-05-23,20200523,2020,5,23,7,21,May,1,Spring
2021-02-15,20210215,2021,2,15,2,7,February,0,Winter
2021-12-05,20211205,2021,12,5,1,48,December,1,Winter
2020-12-17,20201217,2020,12,17,5,51,December,0,Winter
2021-03-22,20210322,2021,3,22,2,12,March,0,Spring
2021-05-03,20210503,2021,5,3,2,18,May,0,Spring
2021-08-21,20210821,2021,8,21,7,33,August,1,Summer
2021-10-08,20211008,2021,10,8,6,40,October,0,Fall
2021-01-18,20210118,2021,1,18,2,3,January,0,Winter
2021-01-25,20210125,2021,1,25,2,4,January,0,Winter
2021-07-19,20210719,2021,7,19,2,29,July,0,Summer
2021-02-02,20210202,2021,2,2,3,5,February,0,Winter
2020-09-07,20200907,2020,9,7,2,37,September,0,Fall
2021-07-10,20210710,2021,7,10,7,27,July,1,Summer
2020-05-08,20200508,2020,5,8,6,19,May,0,Spring
2021-04-25,20210425,2021,4,25,1,16,April,1,Spring
2021-06-04,20210604,2021,6,4,6,22,June,0,Summer
2021-09-25,20210925,2021,9,25,7,38,September,1,Fall
