date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,weather_key
2020-12-11,4.6,6.0,1.3,10.4,31.6,0
2021-07-17,19.5,21.2,18.0,0.2,22.9,1
2021-06-13,22.6,26.1,18.5,0.0,17.7,2
2021-10-03,20.1,23.4,18.2,24.3,17.6,3
2021-10-22,9.7,13.0,6.9,0.0,15.5,4
2021-01-09,-0.7,1.7,-2.5,0.0,18.9,5
2021-03-13,5.2,13.3,-1.7,0.0,14.8,6
2021-07-01,18.5,21.7,14.8,0.8,31.0,7
2020-04-30,6.7,8.9,4.8,9.6,38.5,8
2020-09-08,17.7,18.8,16.7,33.0,32.0,9
2020-12-14,-2.9,-0.6,-4.6,0.0,23.9,10
2021-01-04,-2.5,1.6,-4.5,0.1,17.1,11
2021-03-24,12.6,15.6,8.9,2.9,39.2,12
2021-12-28,1.0,2.7,-1.5,10.5,33.8,13
2021-06-20,22.6,28.7,17.4,12.5,18.9,14
2021-12-16,7.4,16.8,0.2,1.1,53.5,15
2020-07-31,22.0,24.5,19.3,0.0,23.7,16
2020-10-05,9.6,15.3,3.2,0.0,29.1,17
2020-06-27,24.6,29.2,21.0,1.0,20.9,18
2020-09-15,19.3,24.9,14.4,0.0,21.0,19
2020-12-12,3.5,5.0,0.7,25.4,34.2,20
2021-10-16,11.0,14.4,7.8,0.0,29.9,21
2020-09-12,19.3,22.4,17.2,30.9,22.2,22
2021-02-24,2.4,5.2,-3.7,0.0,32.1,23
2021-04-20,3.1,5.1,1.6,2.9,20.6,24
2021-08-08,26.5,30.7,23.9,2.2,30.6,25
2020-08-24,28.1,35.4,21.3,0.2,22.0,26
2020-10-15,11.1,16.5,6.0,0.2,36.0,27
2020-12-06,1.6,2.1,1.0,0.1,12.4,28
2021-03-30,12.7,19.5,8.3,0.5,36.8,29
2020-06-05,24.2,29.8,17.2,0.2,18.4,30
2020-07-28,24.4,28.8,19.3,0.1,22.2,31
2021-05-07,8.2,12.7,5.1,0.4,24.9,32
2020-06-22,22.7,28.1,20.1,23.8,21.1,33
2020-10-24,4.9,6.4,2.8,0.0,23.3,34
2020-04-08,9.0,13.5,5.9,2.5,29.2,35
2020-09-16,20.6,26.7,15.0,0.3,23.4,36
2020-11-02,2.9,9.1,-3.0,0.0,32.7,37
2021-02-09,-13.0,-10.3,-16.2,0.0,25.2,38
2021-05-22,25.0,30.6,17.6,0.2,24.3,39
2021-07-31,21.5,27.2,15.3,0.0,16.5,40
2021-09-09,18.5,21.3,14.6,0.1,15.0,41
2021-09-23,14.3,17.9,11.8,0.0,30.5,42
2020-06-17,22.0,27.5,16.2,0.0,19.7,43
2020-09-04,19.4,25.6,13.2,0.0,26.0,44
2021-06-03,21.4,29.2,11.5,0.0,20.2,45
2021-10-05,17.3,18.5,15.9,0.6,22.4,46
2021-07-02,16.9,19.1,14.5,0.0,22.4,47
2021-12-05,3.8,8.6,1.4,5.4,27.5,48
2021-12-15,14.0,17.7,9.1,0.7,51.4,49
2021-08-26,25.4,28.4,23.0,4.7,20.1,50
2021-09-12,24.6,31.7,20.2,0.0,25.2,51
2021-08-22,22.5,24.2,20.0,0.1,24.6,52
2021-02-21,-4.5,1.5,-10.2,4.1,38.3,53
2020-05-17,15.1,20.2,10.8,61.4,28.7,54
2021-08-10,25.8,32.3,21.7,7.1,41.7,55
2021-11-30,3.6,8.8,-0.3,0.0,24.3,56
2020-06-07,17.2,21.4,12.6,0.0,21.5,57
2020-08-17,23.1,26.2,18.8,0.0,16.6,58
2021-04-30,7.8,12.3,5.1,0.0,37.0,59
2021-06-04,26.8,33.3,20.7,0.1,31.6,60
2021-12-01,5.4,9.4,1.7,0.4,27.8,61
2021-12-20,0.6,5.0,-1.8,0.0,27.1,62
2020-06-25,20.5,23.7,16.2,0.5,20.9,63
2020-08-21,23.7,29.5,17.6,0.0,11.9,64
2021-01-26,-1.0,-0.5,-3.0,12.5,34.4,65
2021-09-11,23.8,30.3,18.5,0.0,27.2,66
2020-12-18,-0.9,2.9,-4.6,0.0,28.9,67
2021-10-20,16.2,21.1,11.7,0.4,27.9,68
2021-11-21,4.8,11.5,0.1,0.3,32.4,69
2020-10-08,13.4,18.2,8.5,0.0,20.8,70
2020-11-17,1.5,5.0,-1.7,0.0,29.7,71
2021-04-19,8.2,11.5,5.7,2.8,23.5,72
2021-10-21,12.4,16.9,9.8,2.8,31.7,73
2020-05-18,13.6,18.0,9.7,0.3,19.7,74
2020-06-29,24.4,29.3,21.2,3.4,19.2,75
2020-08-18,21.5,22.7,19.1,0.0,24.0,76
2021-04-09,12.9,17.3,10.0,1.4,35.9,77
2020-06-13,14.0,16.6,12.4,1.9,28.4,78
2020-07-06,27.9,32.5,21.2,0.3,14.7,79
2021-04-25,5.0,9.3,3.5,0.0,27.7,80
2021-08-11,25.3,31.0,22.9,12.0,42.4,81
2021-12-11,5.7,14.4,0.4,3.0,48.3,82
2021-12-13,4.3,9.1,1.1,0.0,29.0,83
2021-02-20,-12.0,-6.6,-18.8,0.0,18.6,84
2021-11-05,4.7,10.1,0.5,0.0,22.4,85
2020-04-03,9.6,14.8,4.5,0.1,18.8,86
2020-06-14,15.2,17.8,12.7,0.0,22.3,87
2020-10-11,16.5,19.4,14.0,0.9,25.5,88
2021-08-02,20.7,23.8,16.7,0.5,15.5,89
2021-11-14,2.2,3.4,0.1,3.8,37.2,90
2021-11-25,4.2,8.8,-4.2,3.9,31.9,91
2020-10-29,6.3,9.2,3.6,0.2,41.5,92
2020-12-19,3.5,7.9,0.5,0.0,28.4,93
2021-03-05,0.3,6.3,-4.5,0.0,18.1,94
2020-10-21,10.4,12.5,8.1,1.7,23.2,95
2020-07-21,24.0,27.3,21.9,4.7,19.5,96
2020-08-16,22.4,25.3,18.4,0.2,22.3,97
2020-08-25,24.3,26.5,22.1,4.0,34.5,98
2021-02-05,-10.6,-5.7,-13.1,0.1,41.9,99
2021-04-18,9.3,16.3,1.0,0.2,17.7,100
2021-07-15,23.3,25.7,20.4,12.7,31.2,101
2020-10-06,15.1,21.5,10.2,0.0,25.3,102
2021-03-17,1.5,3.9,-0.8,10.1,35.8,103
2021-04-22,6.4,13.6,-1.2,0.0,24.5,104
2021-07-29,25.7,31.1,20.0,0.0,30.9,105
2021-09-04,21.4,25.0,19.7,4.1,21.2,106
2021-09-10,20.2,25.5,14.8,0.0,19.2,107
2021-04-13,8.7,12.9,5.0,0.0,29.2,108
2020-06-28,22.6,24.2,21.2,5.8,15.8,109
2021-11-16,5.0,10.2,0.6,0.0,30.5,110
2020-05-19,11.8,14.6,9.9,1.9,28.2,111
2021-01-16,0.3,3.4,-3.3,1.9,22.1,112
2021-07-09,18.7,21.9,15.1,0.0,15.8,113
2021-09-22,15.5,16.6,14.7,2.8,47.5,114
2021-06-23,20.1,25.8,16.3,0.7,29.1,115
2021-08-20,25.3,28.4,22.1,0.5,15.9,116
2021-12-19,-0.6,2.2,-2.5,0.0,24.1,117
2020-06-20,26.4,31.6,20.6,7.3,25.6,118
2021-01-11,-3.4,-1.3,-5.2,0.0,26.3,119
2021-01-24,-1.0,2.3,-2.5,2.2,19.8,120
2021-06-21,19.8,22.6,14.6,2.5,33.0,121
2020-09-27,20.9,26.1,14.9,0.1,34.2,122
2021-01-22,-7.2,-0.1,-9.8,0.0,28.5,123
2020-12-05,2.2,3.4,0.9,0.0,19.5,124
2021-03-14,3.8,5.6,1.6,0.0,35.4,125
2021-07-06,27.4,32.4,23.0,2.5,22.5,126
2021-10-10,22.6,25.6,20.7,0.3,29.7,127
2020-05-21,12.6,15.8,10.1,0.3,18.8,128
2020-06-18,23.1,28.2,17.1,0.0,18.9,129
2020-06-23,20.0,24.1,16.9,2.5,25.9,130
2020-09-11,18.1,20.1,16.7,3.1,22.3,131
2021-06-15,19.4,22.2,16.5,0.0,22.2,132
2021-10-24,9.3,10.6,6.1,38.5,45.3,133
2020-04-10,3.8,7.5,0.0,0.0,25.3,134
2021-03-12,4.0,8.2,0.9,0.0,16.5,135
2021-10-30,11.7,13.1,9.5,1.4,33.6,136
2021-11-06,7.6,13.4,2.7,0.0,24.0,137
2020-07-30,22.6,25.3,20.0,1.6,33.7,138
2020-12-28,-1.6,0.4,-5.3,0.0,26.3,139
2021-01-02,0.3,1.3,-1.6,0.9,30.0,140
2021-04-10,9.1,12.1,7.0,10.1,22.1,141
2020-10-28,4.6,10.6,-0.2,0.0,21.9,142
2020-10-31,6.6,12.9,0.3,0.0,35.9,143
2021-10-11,21.8,23.9,18.1,25.3,30.9,144
2021-01-30,-1.4,1.1,-3.4,9.0,36.6,145
2020-12-09,3.7,10.3,0.1,0.0,22.3,146
2020-05-10,7.0,10.6,3.5,7.6,41.0,147
2020-08-07,21.6,26.1,15.4,0.0,17.1,148
2020-07-27,25.1,28.7,21.8,15.7,17.0,149
2021-05-03,17.9,23.0,14.3,5.4,26.3,150
2021-08-27,26.3,31.4,22.3,1.4,19.1,151
2021-07-30,19.2,20.2,17.7,0.3,29.5,152
2020-04-05,3.2,5.5,1.3,0.0,19.2,153
2021-03-08,9.9,16.5,5.1,0.0,27.9,154
2020-07-11,24.8,29.5,20.2,1.9,22.5,155
2020-08-22,24.8,31.1,18.0,0.0,19.0,156
2020-09-06,20.6,27.6,16.0,19.6,37.5,157
2020-12-07,1.4,2.4,0.1,0.0,15.7,158
2020-12-15,-2.5,-0.1,-5.4,0.0,24.4,159
2021-09-18,21.0,22.2,19.7,0.0,26.7,160
2021-10-02,20.9,23.2,19.2,18.1,23.3,161
2020-11-22,5.4,7.2,3.9,3.5,18.5,162
2021-05-14,13.9,19.5,6.5,0.0,18.4,163
2021-10-08,18.7,22.2,16.3,12.2,15.3,164
2021-12-09,1.9,7.1,-3.1,0.0,31.4,165
2020-04-01,3.9,7.2,1.9,0.0,19.3,166
2020-04-18,6.6,13.2,-0.4,0.0,35.9,167
2020-07-04,23.5,26.7,20.4,0.0,20.0,168
