date,ride_count,lag_1,lag_7,rolling_mean_7,temperature_2m_mean,precipitation_sum,windspeed_10m_max,is_holiday,day_of_week,is_weekend,month,date_key
2020-04-01,2294,0,0,2294.0,3.9,0.0,19.3,0,4,0,4,20200401
2020-04-02,2608,2294,0,2451.0,4.3,0.0,15.9,0,5,0,4,20200402
2020-04-03,3532,2608,0,2811.3333333333335,9.6,0.1,18.8,0,6,0,4,20200403
2020-04-04,2288,3532,0,2680.5,5.6,2.4,21.6,0,7,1,4,20200404
2020-04-05,2887,2288,0,2721.8,3.2,0.0,19.2,0,1,1,4,20200405
2020-04-06,2427,2887,0,2672.6666666666665,7.5,1.5,17.4,0,2,0,4,20200406
2020-04-07,5185,2427,0,3031.5714285714284,16.8,14.3,29.2,0,3,0,4,20200407
2020-04-08,2365,5185,2294,3041.714285714286,9.0,2.5,29.2,0,4,0,4,20200408
2020-04-09,1972,2365,2608,2950.8571428571427,5.8,0.2,43.6,0,5,0,4,20200409
2020-04-10,2721,1972,3532,2835.0,3.8,0.0,25.3,0,6,0,4,20200410
2020-04-11,4458,2721,2288,3145.0,9.7,2.7,23.5,0,7,1,4,20200411
2020-04-12,3670,4458,2887,3256.8571428571427,12.4,3.1,26.7,1,1,1,4,20200412
2020-04-13,1820,3670,2427,3170.1428571428573,5.0,1.1,36.8,0,2,0,4,20200413
2020-04-14,1609,1820,5185,2659.285714285714,1.1,1.0,33.5,0,3,0,4,20200414
2020-04-15,1419,1609,2365,2524.1428571428573,0.3,2.5,25.4,0,4,0,4,20200415
2020-04-16,2272,1419,1972,2567.0,2.2,0.0,23.4,0,5,0,4,20200416
2020-04-17,1435,2272,2721,2383.285714285714,1.7,7.5,21.1,0,6,0,4,20200417
2020-04-18,5116,1435,4458,2477.285714285714,6.6,0.0,35.9,0,7,1,4,20200418
2020-04-19,5158,5116,3670,2689.8571428571427,7.8,0.2,31.2,1,1,1,4,20200419
2020-04-20,3903,5158,1820,2987.4285714285716,8.7,1.1,34.4,0,2,0,4,20200420
2020-04-21,2627,3903,1609,3132.8571428571427,5.6,0.0,29.5,0,3,0,4,20200421
2020-04-22,1995,2627,1419,3215.1428571428573,7.8,2.9,22.2,0,4,0,4,20200422
2020-04-23,2284,1995,2272,3216.8571428571427,8.4,1.2,22.0,0,5,0,4,20200423
2020-04-24,2284,2284,1435,3338.1428571428573,5.6,1.0,22.3,0,6,0,4,20200424
2020-04-25,1048,2284,5116,2757.0,5.9,17.5,31.7,0,7,1,4,20200425
2020-04-26,6200,1048,5158,2905.8571428571427,7.2,0.0,28.1,0,1,1,4,20200426
2020-04-27,2595,6200,3903,2719.0,10.8,3.2,30.4,0,2,0,4,20200427
2020-04-28,3392,2595,2627,2828.285714285714,15.0,11.0,25.6,0,3,0,4,20200428
2020-04-29,645,3392,1995,2635.4285714285716,11.3,41.6,31.6,0,4,0,4,20200429
2020-04-30,2567,645,2284,2675.8571428571427,6.7,9.6,38.5,0,5,0,4,20200430
