date_key,weather_key,holiday_key,ride_count,lag_1,lag_7,rolling_mean_7
20200401,166,243,2294,0,0,2294.0
20200402,313,250,2608,2294,0,2451.0
20200403,86,415,3532,2608,0,2811.333333333333
20200404,475,371,2288,3532,0,2680.5
20200405,153,40,2887,2288,0,2721.8
20200406,594,342,2427,2887,0,2672.6666666666665
20200407,491,448,5185,2427,0,3031.5714285714284
20200408,35,4,2365,5185,2294,3041.714285714286
20200409,292,378,1972,2365,2608,2950.8571428571427
20200410,134,569,2721,1972,3532,2835.0
20200411,364,401,4458,2721,2288,3145.0
20200412,190,478,3670,4458,2887,3256.8571428571427
20200413,459,274,1820,3670,2427,3170.1428571428573
20200414,417,387,1609,1820,5185,2659.285714285714
20200415,216,195,1419,1609,2365,2524.1428571428573
20200416,427,86,2272,1419,1972,2567.0
20200417,515,452,1435,2272,2721,2383.285714285714
20200418,167,251,5116,1435,4458,2477.285714285714
20200419,253,275,5158,5116,3670,2689.8571428571427
20200420,505,630,3903,5158,1820,2987.428571428572
20200421,587,278,2627,3903,1609,3132.8571428571427
20200422,602,457,1995,2627,1419,3215.1428571428573
20200423,483,372,2284,1995,2272,3216.8571428571427
20200424,185,136,2284,2284,1435,3338.1428571428573
20200425,496,441,1048,2284,5116,2757.0
20200426,175,461,6200,1048,5158,2905.8571428571427
20200427,261,161,2595,6200,3903,2719.0
20200428,269,103,3392,2595,2627,2828.285714285714
20200429,399,343,645,3392,1995,2635.428571428572
20200430,8,609,2567,645,2284,2675.8571428571427
20200501,280,427,4751,2567,2284,3028.285714285714
20200502,286,606,11811,4751,1048,4565.857142857143
20200503,283,138,9414,11811,6200,5025.0
20200504,611,602,2634,9414,2595,5030.571428571428
20200505,531,311,1953,2634,3392,4825.0
20200506,430,99,4775,1953,645,5415.0
20200507,497,402,4997,4775,2567,5762.142857142857
20200508,431,394,2793,4997,4751,5482.428571428572
20200509,304,336,7945,2793,11811,4930.142857142857
20200510,147,165,1394,7945,9414,3784.428571428572
20200511,414,353,2871,1394,2634,3818.285714285714
20200512,229,453,4745,2871,1953,4217.142857142857
20200513,445,210,5762,4745,4775,4358.142857142857
20200514,506,411,3036,5762,4997,4078.0
20200515,507,546,7031,3036,2793,4683.428571428572
20200516,395,282,8975,7031,7945,4830.571428571428
20200517,54,173,691,8975,1394,4730.142857142857
20200518,74,20,3885,691,2871,4875.0
20200519,111,117,2852,3885,4745,4604.571428571428
20200520,526,534,6348,2852,5762,4688.285714285715
20200521,128,445,5602,6348,3036,5054.857142857143
20200522,357,56,7569,5602,7031,5131.714285714285
20200523,210,156,8784,7569,8975,5104.428571428572
20200524,589,234,14836,8784,691,7125.142857142857
20200525,275,585,14268,14836,3885,8608.42857142857
20200526,359,109,7711,14268,2852,9302.57142857143
20200527,386,529,8121,7711,6348,9555.857142857143
20200528,176,361,6785,8121,5602,9724.857142857143
20200529,300,231,10580,6785,7569,10155.0
20200530,339,297,17162,10580,8784,11351.857142857143
20200531,213,519,193,17162,14836,9260.0
20200603,184,527,6296,193,14268,8121.142857142857
20200604,410,484,7628,6296,7711,8109.285714285715
20200605,30,599,8922,7628,8121,8223.714285714286
20200606,484,188,15239,8922,6785,9431.42857142857
20200607,57,79,13224,15239,10580,9809.142857142857
20200608,268,202,10368,13224,17162,8838.57142857143
20200609,362,293,5608,10368,193,9612.142857142857
20200610,309,323,7676,5608,6296,9809.285714285714
20200611,349,237,12275,7676,7628,10473.142857142857
20200612,353,463,11989,12275,8922,10911.285714285714
20200613,78,327,14278,11989,15239,10774.0
20200614,87,211,14602,14278,13224,10970.857142857143
20200615,368,57,10164,14602,10368,10941.714285714286
20200616,191,65,12081,10164,5608,11866.42857142857
20200617,43,494,12827,12081,7676,12602.285714285714
20200618,129,43,13319,12827,12275,12751.42857142857
20200619,206,631,16307,13319,11989,13368.285714285714
20200620,118,566,14665,16307,14278,13423.57142857143
20200621,360,262,14824,14665,14602,13455.285714285714
20200622,33,391,7036,14824,10164,13008.42857142857
20200623,130,175,13692,7036,12081,13238.57142857143
20200624,400,68,12890,13692,12827,13247.57142857143
20200625,63,567,16001,12890,13319,13630.714285714286
20200626,239,341,6228,16001,16307,12190.857142857143
20200627,18,119,20499,6228,14665,13024.285714285714
20200628,109,132,20383,20499,14824,13818.42857142857
20200629,75,50,9395,20383,7036,14155.42857142857
20200630,438,362,14589,9395,13692,14283.57142857143
20200701,236,562,15827,14589,12890,14703.142857142857
20200702,446,485,16560,15827,16001,14783.0
20200703,310,520,20296,16560,6228,16792.714285714286
20200704,168,290,19931,20296,20499,16711.571428571428
20200705,428,548,18538,19931,20383,16448.0
20200706,79,235,14826,18538,9395,17223.85714285714
20200707,305,398,14450,14826,14589,17204.0
20200708,564,498,15885,14450,15827,17212.285714285714
20200709,274,295,14801,15885,16560,16961.0
20200710,627,298,16912,14801,20296,16477.571428571428
20200711,155,403,23072,16912,19931,16926.285714285714
20200712,343,69,22680,23072,18538,17518.0
20200713,217,207,16633,22680,14826,17776.14285714286
20200714,350,0,17311,16633,14450,18184.85714285714
20200715,620,517,9357,17311,15885,17252.285714285714
20200716,351,312,17263,9357,14801,17604.0
20200717,470,279,19923,17263,16912,18034.14285714286
20200718,340,76,22991,19923,23072,18022.571428571428
20200719,354,495,14582,22991,22680,16865.714285714286
20200720,301,194,16023,14582,16633,16778.571428571428
20200721,96,181,12546,16023,17311,16097.857142857143
20200722,293,374,17332,12546,9357,17237.14285714286
20200723,262,324,18586,17332,17263,17426.14285714286
20200724,237,141,20673,18586,19923,17533.285714285714
20200725,207,304,26410,20673,22991,18021.714285714286
20200726,532,395,19811,26410,14582,18768.714285714286
20200727,149,263,15074,19811,16023,18633.14285714286
20200728,31,111,18182,15074,12546,19438.285714285717
20200729,476,521,15483,18182,17332,19174.14285714286
20200730,138,632,17846,15483,18586,19068.42857142857
20200731,16,549,21676,17846,20673,19211.714285714286
20200801,595,603,23256,21676,26410,18761.14285714286
20200802,447,146,15367,23256,19811,18126.285714285717
20200803,281,238,13039,15367,15074,17835.571428571428
20200804,355,464,17746,13039,18182,17773.285714285714
20200805,579,358,17856,17746,15483,18112.285714285717
20200806,287,91,19837,17856,17846,18396.714285714286
20200807,148,359,22584,19837,21676,18526.42857142857
20200808,186,570,28709,22584,23256,19305.42857142857
20200809,466,204,23200,28709,15367,20424.42857142857
20200810,561,80,9747,23200,13039,19954.14285714286
20200811,192,135,17835,9747,17746,19966.85714285714
20200812,527,604,18418,17835,17856,20047.14285714286
20200813,284,17,18646,18418,19837,19877.0
20200814,600,14,20396,18646,22584,19564.42857142857
