time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max
2020-04-01,7.2,1.9,3.9,0.0,0.0,0.0,0.0,19.3
2020-04-02,7.6,0.7,4.3,0.0,0.0,0.0,0.0,15.9
2020-04-03,14.8,4.5,9.6,0.1,0.1,0.0,1.0,18.8
2020-04-04,13.4,2.0,5.6,2.4,2.4,0.0,9.0,21.6
2020-04-05,5.5,1.3,3.2,0.0,0.0,0.0,0.0,19.2
2020-04-06,13.2,0.6,7.5,1.5,1.5,0.0,6.0,17.4
2020-04-07,23.9,11.6,16.8,14.3,14.3,0.0,10.0,29.2
2020-04-08,13.5,5.9,9.0,2.5,2.5,0.0,6.0,29.2
2020-04-09,8.3,2.0,5.8,0.2,0.2,0.0,2.0,43.6
2020-04-10,7.5,0.0,3.8,0.0,0.0,0.0,0.0,25.3
2020-04-11,16.4,3.9,9.7,2.7,2.7,0.0,6.0,23.5
2020-04-12,18.4,8.1,12.4,3.1,3.1,0.0,8.0,26.7
2020-04-13,12.3,0.8,5.0,1.1,1.1,0.0,4.0,36.8
2020-04-14,5.0,-2.4,1.1,1.0,0.0,0.7,7.0,33.5
2020-04-15,3.7,-2.8,0.3,2.5,0.0,1.75,7.0,25.4
2020-04-16,8.2,-3.4,2.2,0.0,0.0,0.0,0.0,23.4
2020-04-17,3.5,0.9,1.7,7.5,0.5,4.9,13.0,21.1
2020-04-18,13.2,-0.4,6.6,0.0,0.0,0.0,0.0,35.9
2020-04-19,13.5,3.4,7.8,0.2,0.2,0.0,1.0,31.2
2020-04-20,15.6,-0.1,8.7,1.1,1.1,0.0,4.0,34.4
2020-04-21,9.6,2.4,5.6,0.0,0.0,0.0,0.0,29.5
2020-04-22,14.1,1.9,7.8,2.9,2.3,0.42,7.0,22.2
2020-04-23,12.6,5.0,8.4,1.2,1.2,0.0,5.0,22.0
2020-04-24,7.2,4.3,5.6,1.0,1.0,0.0,6.0,22.3
2020-04-25,7.1,4.4,5.9,17.5,17.5,0.0,20.0,31.7
2020-04-26,11.5,4.4,7.2,0.0,0.0,0.0,0.0,28.1
2020-04-27,18.4,2.1,10.8,3.2,3.2,0.0,7.0,30.4
2020-04-28,19.6,8.2,15.0,11.0,11.0,0.0,10.0,25.6
2020-04-29,16.1,6.1,11.3,41.6,41.6,0.0,24.0,31.6
2020-04-30,8.9,4.8,6.7,9.6,9.6,0.0,13.0,38.5
2020-05-01,14.6,1.6,9.3,0.4,0.4,0.0,1.0,19.2
2020-05-02,23.8,11.3,17.2,0.0,0.0,0.0,0.0,23.8
2020-05-03,19.8,7.4,15.1,0.0,0.0,0.0,0.0,29.2
2020-05-04,7.3,3.7,5.2,0.0,0.0,0.0,0.0,30.4
2020-05-05,8.0,4.8,6.4,6.1,6.1,0.0,18.0,20.5
2020-05-06,12.5,3.6,8.3,0.0,0.0,0.0,0.0,19.8
2020-05-07,17.6,6.1,9.9,0.0,0.0,0.0,0.0,31.3
2020-05-08,6.0,1.4,3.8,0.0,0.0,0.0,0.0,38.8
2020-05-09,12.8,-1.3,6.4,0.0,0.0,0.0,0.0,26.1
2020-05-10,10.6,3.5,7.0,7.6,7.6,0.0,15.0,41.0
2020-05-11,8.2,3.1,5.2,0.1,0.1,0.0,1.0,19.4
2020-05-12,14.0,2.9,7.8,0.0,0.0,0.0,0.0,21.0
2020-05-13,17.4,5.4,11.6,0.0,0.0,0.0,0.0,22.9
